,item,oldprice,special-price,size01,size02,size03,size04,size05,url
0, Suit Black DW-EF20-25,"12,990","9,093",XS,S,,,,https://www.mariab.pk/dw-ef20-25-black.html
1, Suit Off White DW-EF20-25,"12,990","9,093",XS,S,M,,,https://www.mariab.pk/dw-ef20-25-off-white.html
2, Suit Coffee DW-EA20-31,"12,990","9,742",XS,S,M,L,,https://www.mariab.pk/dw-ea20-31-coffee.html
3, Suit Red DW-EA20-02,"10,490",,XS,M,,,,https://www.mariab.pk/dw-ea20-02-red.html
4, Suit Blue DW-EA20-02,"10,490",,S,,,,,https://www.mariab.pk/dw-ea20-02-blue.html
5, Suit Off White DW-EF20-13,"11,590","8,113",XS,S,M,L,,https://www.mariab.pk/dw-ef20-13-off-white.html
6, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
7, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
8, Suit Peach DW-EF20-37,"13,590","10,193",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-peach.html
9, Suit Green DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-green.html
10, Suit Yellow DW-EF20-22,"13,990","9,793",XS,S,M,L,,https://www.mariab.pk/dw-ef20-22-yellow.html
11, Suit Blue DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-blue.html
12, Suit Black DW-EF20-25,"12,990","9,093",XS,S,,,,https://www.mariab.pk/dw-ef20-25-black.html
13, Suit Off White DW-EF20-25,"12,990","9,093",XS,S,M,,,https://www.mariab.pk/dw-ef20-25-off-white.html
14, Suit Coffee DW-EA20-31,"12,990","9,742",XS,S,M,L,,https://www.mariab.pk/dw-ea20-31-coffee.html
15, Suit Red DW-EA20-02,"10,490",,XS,M,,,,https://www.mariab.pk/dw-ea20-02-red.html
16, Suit Blue DW-EA20-02,"10,490",,S,,,,,https://www.mariab.pk/dw-ea20-02-blue.html
17, Suit Off White DW-EF20-13,"11,590","8,113",XS,S,M,L,,https://www.mariab.pk/dw-ef20-13-off-white.html
18, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
19, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
20, Suit Peach DW-EF20-37,"13,590","10,193",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-peach.html
21, Suit Green DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-green.html
22, Suit Yellow DW-EF20-22,"13,990","9,793",XS,S,M,L,,https://www.mariab.pk/dw-ef20-22-yellow.html
23, Suit Blue DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-blue.html
24, Suit Black DW-EF20-25,"12,990","9,093",XS,S,,,,https://www.mariab.pk/dw-ef20-25-black.html
25, Suit Off White DW-EF20-25,"12,990","9,093",XS,S,M,,,https://www.mariab.pk/dw-ef20-25-off-white.html
26, Suit Coffee DW-EA20-31,"12,990","9,742",XS,S,M,L,,https://www.mariab.pk/dw-ea20-31-coffee.html
27, Suit Red DW-EA20-02,"10,490",,XS,M,,,,https://www.mariab.pk/dw-ea20-02-red.html
28, Suit Blue DW-EA20-02,"10,490",,S,,,,,https://www.mariab.pk/dw-ea20-02-blue.html
29, Suit Off White DW-EF20-13,"11,590","8,113",XS,S,M,L,,https://www.mariab.pk/dw-ef20-13-off-white.html
30, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
31, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
32, Suit Peach DW-EF20-37,"13,590","10,193",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-peach.html
33, Suit Green DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-green.html
34, Suit Yellow DW-EF20-22,"13,990","9,793",XS,S,M,L,,https://www.mariab.pk/dw-ef20-22-yellow.html
35, Suit Blue DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-blue.html
36, Suit Black DW-EF20-25,"12,990","9,093",XS,S,,,,https://www.mariab.pk/dw-ef20-25-black.html
37, Suit Off White DW-EF20-25,"12,990","9,093",XS,S,M,,,https://www.mariab.pk/dw-ef20-25-off-white.html
38, Suit Coffee DW-EA20-31,"12,990","9,742",XS,S,M,L,,https://www.mariab.pk/dw-ea20-31-coffee.html
39, Suit Red DW-EA20-02,"10,490",,XS,M,,,,https://www.mariab.pk/dw-ea20-02-red.html
40, Suit Blue DW-EA20-02,"10,490",,S,,,,,https://www.mariab.pk/dw-ea20-02-blue.html
41, Suit Off White DW-EF20-13,"11,590","8,113",XS,S,M,L,,https://www.mariab.pk/dw-ef20-13-off-white.html
42, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
43, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
44, Suit Peach DW-EF20-37,"13,590","10,193",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-peach.html
45, Suit Green DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-green.html
46, Suit Yellow DW-EF20-22,"13,990","9,793",XS,S,M,L,,https://www.mariab.pk/dw-ef20-22-yellow.html
47, Suit Blue DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-blue.html
48, Suit Black DW-EF20-25,"12,990","9,093",XS,S,,,,https://www.mariab.pk/dw-ef20-25-black.html
49, Suit Off White DW-EF20-25,"12,990","9,093",XS,S,M,,,https://www.mariab.pk/dw-ef20-25-off-white.html
50, Suit Coffee DW-EA20-31,"12,990","9,742",XS,S,M,L,,https://www.mariab.pk/dw-ea20-31-coffee.html
51, Suit Red DW-EA20-02,"10,490",,XS,M,,,,https://www.mariab.pk/dw-ea20-02-red.html
52, Suit Blue DW-EA20-02,"10,490",,S,,,,,https://www.mariab.pk/dw-ea20-02-blue.html
53, Suit Off White DW-EF20-13,"11,590","8,113",XS,S,M,L,,https://www.mariab.pk/dw-ef20-13-off-white.html
54, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
55, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
56, Suit Peach DW-EF20-37,"13,590","10,193",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-peach.html
57, Suit Green DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-green.html
58, Suit Yellow DW-EF20-22,"13,990","9,793",XS,S,M,L,,https://www.mariab.pk/dw-ef20-22-yellow.html
59, Suit Blue DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-blue.html
60, Suit Black DW-EF20-25,"12,990","9,093",XS,S,,,,https://www.mariab.pk/dw-ef20-25-black.html
61, Suit Off White DW-EF20-25,"12,990","9,093",XS,S,M,,,https://www.mariab.pk/dw-ef20-25-off-white.html
62, Suit Coffee DW-EA20-31,"12,990","9,742",XS,S,M,L,,https://www.mariab.pk/dw-ea20-31-coffee.html
63, Suit Red DW-EA20-02,"10,490",,XS,M,,,,https://www.mariab.pk/dw-ea20-02-red.html
64, Suit Blue DW-EA20-02,"10,490",,S,,,,,https://www.mariab.pk/dw-ea20-02-blue.html
65, Suit Off White DW-EF20-13,"11,590","8,113",XS,S,M,L,,https://www.mariab.pk/dw-ef20-13-off-white.html
66, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
67, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
68, Suit Peach DW-EF20-37,"13,590","10,193",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-peach.html
69, Suit Green DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-green.html
70, Suit Yellow DW-EF20-22,"13,990","9,793",XS,S,M,L,,https://www.mariab.pk/dw-ef20-22-yellow.html
71, Suit Blue DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-blue.html
72, Suit Black DW-EF20-25,"12,990","9,093",XS,S,,,,https://www.mariab.pk/dw-ef20-25-black.html
73, Suit Off White DW-EF20-25,"12,990","9,093",XS,S,M,,,https://www.mariab.pk/dw-ef20-25-off-white.html
74, Suit Coffee DW-EA20-31,"12,990","9,742",XS,S,M,L,,https://www.mariab.pk/dw-ea20-31-coffee.html
75, Suit Red DW-EA20-02,"10,490",,XS,M,,,,https://www.mariab.pk/dw-ea20-02-red.html
76, Suit Blue DW-EA20-02,"10,490",,S,,,,,https://www.mariab.pk/dw-ea20-02-blue.html
77, Suit Off White DW-EF20-13,"11,590","8,113",XS,S,M,L,,https://www.mariab.pk/dw-ef20-13-off-white.html
78, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
79, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
80, Suit Peach DW-EF20-37,"13,590","10,193",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-peach.html
81, Suit Green DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-green.html
82, Suit Yellow DW-EF20-22,"13,990","9,793",XS,S,M,L,,https://www.mariab.pk/dw-ef20-22-yellow.html
83, Suit Blue DW-EF20-36,"12,590","8,813",XS,S,M,L,,https://www.mariab.pk/dw-ef20-36-blue.html
84, Suit Black DW-EF20-25,"12,990","9,093",XS,S,,,,https://www.mariab.pk/dw-ef20-25-black.html
85, Suit Off White DW-EF20-25,"12,990","9,093",XS,S,M,,,https://www.mariab.pk/dw-ef20-25-off-white.html
86, Suit Coffee DW-EA20-31,"12,990","9,742",XS,S,M,L,,https://www.mariab.pk/dw-ea20-31-coffee.html
87, Suit Red DW-EA20-02,"10,490",,XS,M,,,,https://www.mariab.pk/dw-ea20-02-red.html
88, Suit Blue DW-EA20-02,"10,490",,S,,,,,https://www.mariab.pk/dw-ea20-02-blue.html
89, Suit Off White DW-EF20-13,"11,590","8,113",XS,S,M,L,,https://www.mariab.pk/dw-ef20-13-off-white.html
90, Suit Green DW-EF20-13,"11,590","9,272",XS,S,,,,https://www.mariab.pk/dw-ef20-13-green.html
91, Suit Grey DW-EF20-37,"13,590","9,513",XS,S,M,L,,https://www.mariab.pk/dw-ef20-37-grey.html
